Date,Country,Returns6M,BondYield,BondYieldDiff,BondYieldChg,BondYieldChgMedian,BondYieldDiffRank,BondYieldChgRank,BondYieldChgMedianRank
2010-06-30,brazil,0.25899243177852527,12.384,-0.06599999999999895,-0.005301204819276983,-0.005301204819277024,28.0,29.0,28.0
2010-06-30,canada,0.26952712056006844,3.081,-0.2829999999999999,-0.08412604042806182,-0.05104617604617603,21.0,20.0,23.0
2010-06-30,chile,0.4020800534005291,6.5762,0.28279999999999994,0.04493596466139138,0.04397244725016714,32.0,32.0,32.0
2010-06-30,china,0.11455192388798352,3.31,0.10000000000000009,0.031152647975077885,0.028985507246376836,30.0,30.0,30.0
2010-06-30,colombia,0.2545960284152249,7.77,,,,,,
2010-06-30,france,0.2294723541126904,3.05,-0.6790000000000003,-0.18208635022794317,-0.1344687592830974,9.0,9.0,10.0
2010-06-30,germany,0.277294414967562,2.577,-0.8090000000000002,-0.23892498523331374,-0.16018216018216022,7.0,4.0,6.0
2010-06-30,hong kong,0.2775228019895595,2.305,-0.34599999999999964,-0.13051678611844575,-0.07689743304811639,17.0,14.0,17.0
2010-06-30,india,0.17992815008801544,7.546,0.5340000000000007,0.07615516257843713,0.07016160819865992,34.0,33.0,33.0
2010-06-30,indonesia,0.16811878977041883,8.379,-2.7110000000000003,-0.24445446348061317,-0.2423565170749151,1.0,3.0,2.0
2010-06-30,ireland,0.02661775802123345,5.5,-0.23000000000000043,-0.04013961605584648,-0.044816835541699226,24.0,26.0,24.0
2010-06-30,israel,0.16577731599700352,,,,,,,
2010-06-30,italy,0.16899481304101038,4.094,-0.33999999999999986,-0.07668019846639595,-0.06638680074197009,18.0,22.0,19.0
2010-06-30,japan,0.18654076111135165,1.091,-0.268,-0.19720382634289924,-0.1429714590557482,22.0,7.0,9.0
2010-06-30,malaysia,0.253379354792741,3.957,-0.41300000000000026,-0.09450800915331814,-0.09731385485391147,16.0,17.0,14.0
2010-06-30,mexico,0.30076279770818015,6.889,-1.291999999999999,-0.1579269038014911,-0.14919168591224005,2.0,12.0,8.0
2010-06-30,netherlands,0.1841808504259772,2.808,-0.9910000000000001,-0.2608581205580416,-0.1950403463885062,4.0,2.0,4.0
2010-06-30,new zealand,0.2618305416514952,5.336,-0.5960000000000001,-0.10047201618341206,-0.0884995174103497,11.0,16.0,15.0
2010-06-30,peru,0.461866998577916,6.23,0.2400000000000002,0.04006677796327218,0.0378548895899054,31.0,31.0,31.0
2010-06-30,philippines,0.24459823414340365,8.288,-0.48600000000000065,-0.05539092774105314,-0.0373128598848369,14.0,23.0,26.0
2010-06-30,poland,0.4137600518147133,5.941,-0.3280000000000003,-0.05232094432923917,-0.05236270753512137,20.0,24.0,22.0
2010-06-30,portugal,0.19740177690272387,,,,,,,
2010-06-30,russia,0.32069254348901444,5.002,-0.038000000000000256,-0.007539682539682624,-0.0045492637375793435,29.0,28.0,29.0
2010-06-30,singapore,0.2368615465630559,2.37,-0.21999999999999975,-0.08494208494208488,-0.061538461538461466,25.0,19.0,21.0
2010-06-30,south africa,0.4185864713804517,8.852,-0.09299999999999997,-0.010396869759642269,-0.008885916300401296,27.0,27.0,27.0
2010-06-30,south korea,0.3218131067073815,4.95,-0.2400000000000002,-0.046242774566474076,-0.04431314623338261,23.0,25.0,25.0
2010-06-30,spain,0.16317301265996487,4.561,0.4299999999999997,0.10409101912369878,0.08674601573532373,33.0,34.0,34.0
2010-06-30,sweden,0.339720213458766,2.666,-0.7989999999999999,-0.23059163059163057,-0.15144048521607278,8.0,6.0,7.0
2010-06-30,switzerland,0.21811341864780376,1.482,-0.837,-0.3609314359637775,-0.263373190685966,6.0,1.0,1.0
2010-06-30,taiwan,0.3968866544209828,1.4122,-0.20999999999999996,-0.12945382813463202,-0.08768267223382044,26.0,15.0,16.0
2010-06-30,thailand,0.4013645256868057,3.146,-0.593,-0.15859855576357318,-0.12447523089840469,12.0,11.0,11.0
