Date,Country,Development,BondYield,CBPR,TotalPrices,Prices,Earnings,PE
1997-12-31,united kingdom,DM,6.291,7.25,2766.823,1534.65,82.69,18.559076067239086
1997-12-31,canada,DM,5.615,4.25,1241.861,751.16,28.29,26.55213856486391
1997-12-31,australia,DM,6.038,5.0,694.037,518.65,23.79,21.80117696511139
1997-12-31,switzerland,DM,3.283,,3583.87,767.5,18.94,40.522703273495246
1997-12-31,france,DM,5.337,,1933.905,76.92,3.6,21.366666666666667
1997-12-31,germany,DM,5.368,,2074.091,84.23,2.74,30.740875912408757
1997-12-31,spain,DM,5.592,,1104.576,72.75,3.54,20.550847457627118
1997-12-31,sweden,DM,5.98,4.35,5281.999,4161.73,219.87,18.92813935507345
1997-12-31,netherlands,DM,5.308,,5416.794,89.18,3.99,22.350877192982455
1997-12-31,south africa,EM,13.88,,,181.89,18.4,9.885326086956521
1997-12-31,italy,DM,5.645,,517.398,71.02,3.56,19.94943820224719
1997-12-31,belgium,DM,5.441,,4083.349,65.43,3.9699999999999998,16.48110831234257
1997-12-31,philippines,EM,22.221,11.0,,446.28,39.48,11.303951367781155
1997-12-31,austria,DM,5.418,,1691.201,108.95,0.37,294.4594594594595
1997-12-31,ireland,DM,5.556,,396.557,78.66,4.9,16.053061224489795
1997-12-31,new zealand,DM,7.035,,155.059,122.39,5.08,24.09251968503937
1998-06-30,united states,DM,5.446,5.5,,1088.09,41.68,26.10580614203455
1998-06-30,japan,DM,1.615,,3002.887,798.09,5.58,143.0268817204301
1998-06-30,united kingdom,DM,5.858,7.5,3201.166,1729.24,77.68,22.2610710607621
1998-06-30,canada,DM,5.355,4.75,1355.243,837.0,30.36,27.56916996047431
1998-06-30,australia,DM,5.545,5.0,702.567,546.33,20.78,26.29114533205005
1998-06-30,switzerland,DM,3.144,,4318.073,958.21,19.03,50.35260115606936
1998-06-30,france,DM,4.839,,2682.316,106.65,3.56,29.95786516853933
1998-06-30,germany,DM,4.779,,2830.883,114.86,3.64,31.554945054945055
1998-06-30,spain,DM,5.013,,1589.434,104.43,3.46,30.182080924855494
1998-06-30,hong kong,DM,9.999,,9726.115,4246.52,360.98,11.76386503407391
1998-06-30,sweden,DM,4.984,4.1,6817.508,5368.69,209.72,25.599322906732784
1998-06-30,netherlands,DM,4.827,,6653.066,109.04,5.7,19.12982456140351
1998-06-30,south africa,EM,15.17,20.21,,186.66,14.53,12.846524432209222
1998-06-30,italy,DM,5.072,,689.03,94.63,4.19,22.58472553699284
1998-06-30,singapore,DM,5.3,6.25,2082.827,654.0126,57.53,11.36820093864071
1998-06-30,belgium,DM,4.947,,5851.899,93.28,5.44,17.14705882352941
1998-06-30,philippines,EM,22.93,13.125,,445.72,29.59,15.063197026022307
1998-06-30,austria,DM,4.854,,2094.651,134.7,0.35,384.85714285714283
1998-06-30,ireland,DM,5.056,,504.44,101.41,5.13,19.76803118908382
1998-06-30,new zealand,DM,6.315,,122.214,106.16,5.23,20.298279158699806
1998-12-31,united states,DM,4.648,4.75,,1196.34,41.38,28.91106814886418
1998-12-31,japan,DM,2.218,,3239.055,696.91,6.72,103.70684523809524
1998-12-31,united kingdom,DM,4.361,6.25,3259.294,1742.93,77.18,22.58266390256543
1998-12-31,canada,DM,4.909,5.0,1165.658,746.27,37.71,19.78971095200212
1998-12-31,australia,DM,5.015,4.75,736.165,571.86,20.56,27.81420233463035
1998-12-31,switzerland,DM,2.356,,4427.254,885.88,34.36,25.78230500582072
1998-12-31,france,DM,3.941,3.0,2737.278,100.0,3.7,27.027027027027025
1998-12-31,germany,DM,3.866,3.0,2684.456,100.0,3.83,26.109660574412533
1998-12-31,spain,DM,3.965,3.0,1655.741,100.0,3.45,28.98550724637681
1998-12-31,hong kong,DM,9.942,6.25,12785.984,5444.3,289.83,18.784459855777527
1998-12-31,sweden,DM,4.184,3.4,6019.434,4788.06,199.46,24.005113807279656
1998-12-31,netherlands,DM,3.963,3.0,6675.038,100.0,5.57,17.953321364452425
1998-12-31,south africa,EM,15.845,19.32,,154.25,15.51,9.945196647324307
1998-12-31,italy,DM,4.033,3.0,789.147,100.0,4.04,24.752475247524753
1998-12-31,india,EM,12.215,,,110.78,8.9,12.447191011235955
1998-12-31,singapore,DM,4.48,1.75,2629.265,797.7263,27.25,29.274359633027526
1998-12-31,belgium,DM,4.103,3.0,6849.748,100.0,5.33,18.76172607879925
1998-12-31,austria,DM,4.032,3.0,1697.131,100.0,5.84,17.123287671232877
1998-12-31,ireland,DM,4.093,3.0,536.644,100.0,5.23,19.12045889101338
1998-12-31,new zealand,DM,5.465,,119.979,100.59,5.02,20.037848605577693
1999-06-30,united states,DM,5.78,5.0,,1339.36,44.86,29.856442264823894
1999-06-30,japan,DM,1.87,,3910.032,899.69,-9.1,-98.86703296703298
1999-06-30,united kingdom,DM,5.064,5.0,3344.797,1865.55,73.28,25.457832969432314
1999-06-30,canada,DM,5.473,4.5,1382.93,847.35,29.65,28.57841483979764
1999-06-30,australia,DM,6.27,4.75,841.806,599.81,20.58,29.145286686103013
1999-06-30,switzerland,DM,2.862,,3852.197,868.76,34.26,25.357851722124927
1999-06-30,france,DM,4.64,2.5,2768.11,114.55,4.24,27.016509433962263
1999-06-30,germany,DM,4.511,2.5,2571.525,108.45,4.09,26.5158924205379
1999-06-30,spain,DM,4.766,2.5,1546.706,105.73,3.9699999999999998,26.63224181360202
1999-06-30,hong kong,DM,7.67,6.25,16808.184,7051.5,332.94,21.17949180032438
1999-06-30,sweden,DM,5.049,2.9,7191.073,5963.56,326.52,18.263996079872598
1999-06-30,netherlands,DM,4.676,2.5,6230.841,105.44,4.8,21.96666666666667
1999-06-30,south africa,EM,15.2,14.91,,203.73,15.46,13.177878395860283
1999-06-30,italy,DM,4.837,2.5,686.403,98.46,3.77,26.116710875331563
1999-06-30,india,EM,11.701,,,153.14,7.91,19.360303413400757
1999-06-30,singapore,DM,4.59,1.75,4216.941,1311.1338,35.96,36.46089543937709
1999-06-30,belgium,DM,4.8,2.5,5522.002,91.02,5.07,17.95266272189349
1999-06-30,philippines,EM,15.786,9.125,,605.91,24.26,24.975680131904365
1999-06-30,austria,DM,4.769,2.5,1600.011,106.57,2.9,36.748275862068965
1999-06-30,poland,EM,8.943999999999999,,,1299.33,44.76,29.02882037533512
1999-06-30,ireland,DM,4.751,2.5,475.723,100.1,5.78,17.31833910034602
1999-06-30,new zealand,DM,6.505,4.5,128.59,105.93,4.05,26.15555555555556
1999-12-31,united states,DM,6.442,5.5,,1445.86,47.91,30.178668336464202
1999-12-31,japan,DM,1.675,,5231.945,1015.32,-5.21,-194.87907869481768
1999-12-31,united kingdom,DM,5.484,5.5,3665.084,1974.47,71.9,27.461335187760778
1999-12-31,canada,DM,6.255,4.75,1792.059,1070.23,32.64,32.78890931372549
1999-12-31,australia,DM,6.98,5.0,865.842,617.44,24.78,24.916868442292174
1999-12-31,switzerland,DM,3.503,,4116.491,951.78,34.71,27.420916162489196
1999-12-31,france,DM,5.478,3.0,3538.41,149.95,4.29,34.95337995337995
1999-12-31,germany,DM,5.358,3.0,3222.539,139.05,4.0,34.7625
1999-12-31,spain,DM,5.558,3.0,1735.791,121.28,4.04,30.019801980198018
1999-12-31,hong kong,DM,7.714,7.0,20396.633,8459.09,332.55,25.43704706059239
1999-12-31,sweden,DM,5.72,3.25,10819.525,8970.48,362.42,24.751614149329505
1999-12-31,netherlands,DM,5.492,3.0,7134.588,123.3,4.89,25.21472392638037
1999-12-31,south africa,EM,13.668,12.0,,247.72,15.56,15.920308483290487
1999-12-31,italy,DM,5.579,3.0,787.069,115.41,3.86,29.89896373056995
1999-12-31,india,EM,11.222,,,209.49,9.16,22.87008733624454
1999-12-31,singapore,DM,4.5600000000000005,2.75,5242.75,1587.3757,36.01,44.08152457650653
1999-12-31,belgium,DM,5.595,3.0,5873.036,98.67,5.34,18.47752808988764
1999-12-31,philippines,EM,17.035,8.75,,519.38,20.42,25.43486777668952
1999-12-31,austria,DM,5.558,3.0,1542.461,104.88,2.85,36.8
1999-12-31,poland,EM,10.142,,,1373.3,40.02,34.31534232883558
1999-12-31,ireland,DM,5.596,3.0,468.849,100.72,4.53,22.23399558498896
1999-12-31,new zealand,DM,7.316,5.0,135.454,111.77,4.32,25.872685185185183
2000-06-30,united states,DM,6.031,6.5,,1409.31,50.81,27.736862822279075
2000-06-30,japan,DM,1.7610000000000001,,4950.82,990.74,10.9,90.89357798165138
2000-06-30,united kingdom,DM,5.171,6.0,3235.375,1832.98,69.23,26.47667196302181
2000-06-30,canada,DM,5.856,5.75,2207.364,1339.78,46.23,28.980748431754275
2000-06-30,australia,DM,6.183,6.0,867.733,666.55,33.73,19.761340053364957
2000-06-30,switzerland,DM,3.999,3.5,4096.526,957.82,48.41,19.785581491427394
2000-06-30,france,DM,5.379,4.25,3751.727,165.64,4.33,38.254041570438794
2000-06-30,germany,DM,5.221,4.25,2982.772,133.94,4.8100000000000005,27.846153846153843
2000-06-30,spain,DM,5.506,4.25,1625.905,118.12,6.76,17.47337278106509
2000-06-30,hong kong,DM,7.487,8.0,17734.488,7275.89,966.12,7.531041692543369
2000-06-30,sweden,DM,5.276,3.75,11854.893,10053.31,399.33,25.175443868479704
2000-06-30,netherlands,DM,5.36,4.25,7208.248,129.38,6.58,19.662613981762917
2000-06-30,south africa,EM,14.192,11.75,,228.69,19.8,11.549999999999999
2000-06-30,italy,DM,5.59,4.25,818.046,124.61,6.43,19.379471228615863
2000-06-30,india,EM,11.02,,,205.69,10.21,20.145935357492654
2000-06-30,singapore,DM,4.67,2.5,4054.402,1266.2135,61.2,20.689763071895424
2000-06-30,belgium,DM,5.59,4.25,4931.153,85.69,6.45,13.285271317829457
2000-06-30,philippines,EM,15.254,10.0,,355.79,-0.5,-711.58
2000-06-30,austria,DM,5.577,4.25,1395.442,98.38,5.57,17.662477558348293
2000-06-30,poland,EM,12.645,,,1461.87,82.99,17.615013857091217
2000-06-30,ireland,DM,5.487,4.25,385.422,85.83,5.5600000000000005,15.437050359712229
2000-06-30,new zealand,DM,6.791,6.5,112.9,101.16,4.31,23.470997679814385
2000-12-31,united states,DM,5.112,6.5,,1249.86,50.09,24.952285885406265
2000-12-31,japan,DM,1.646,,3758.617,809.54,14.8,54.69864864864864
